"Spalte1","Level","Vorlagen-ID","Langbez.Vorlage","Entitäts-ID","Bz.Entität","Feldname","Kurzbeschreibung","Attributbez. PM DE","Verwendet","Voreinst. Wertebereich","Klassifik.","Feld","AttribWert","ZSV Key"
"31391","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung",,"","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"31392","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","COVCPCOTP_CD","Deckungsart (SHU/KFZ/Leben für Mehrspartenversicherung)","Deckungsart","X","00000","NaN","*","NaN","NaN"
"31393","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","COVCPCOTP_TT","Bezeichnung der Deckungsart (SHU/Kfz)",,"X","NaN","NaN","*","NaN","NaN"
"31394","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","GROSSPREMIUMB_AM","Bruttobeitrag vor Steuern","BruttoBeitrag","X","0.00","NaN",".","NaN","NaN"
"31395","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31396","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31397","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31398","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31399","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31400","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31401","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31402","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31403","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31404","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31405","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31406","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31407","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31408","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31409","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
"31410","1.40.07.21","3NI0000H0000","Innere Unruhen","/PM0/ABDACOVCPCO","Basis Deckung","INSAMOUNT_AM","Versicherungssumme","VSU","X","NaN","NaN","-","NaN","NaN"
